92.10 Gemeentecode,92.11 Omschrijving,92.12 Nieuwe code,99.98 Datum ingang,99.99 Datum einde
"0825","Oost-, West- en Middelbeers","0823","","19970101"
"0826","Oosterhout","","",""
"0827","Oploo, St. Anthonis en Ledeacker","1691","","19940101"
"0828","Oss","","",""
"0829","Ossendrecht","0873","","19970101"
"0830","Oudenbosch","1655","","19970101"
"0831","Oud en Nieuw Gastel","1655","","19970101"
"0832","Prinsenbeek","0758","19510101","19970101"
"0833","Putte","0873","","19970101"
"0834","Raamsdonk","0779","","19970101"
"0835","Ravenstein","0828","","20030101"
"0836","Reusel","1667","","19970101"
"0837","Riethoven","0749","","19970101"
"0838","Roosendaal en Nispen","1674","","19970101"
"0839","Rosmalen","0796","","19960101"
"0840","Rucphen","","",""
"0841","Rijsbergen","0879","","19970101"
"0842","Rijswijk (NB)","0874","","19730101"
"0843","Schaijk","1685","","19940101"
"0844","Schijndel","1948","","20170101"
"0845","Sint-Michielsgestel","","",""
"0846","Sint-Oedenrode","1948","","20170101"
"0847","Someren","","",""
"0848","Son en Breugel","","",""
"0849","Sprang-Capelle","0867","19230101","19970101"
"0850","Standdaarbuiten","0878","","19970101"
"0851","Steenbergen","","",""
"0852","Waterland","","19910101",""
"0853","Terheijden","1665","","19970101"
"0854","Teteringen","0758","","19970101"
"0855","Tilburg","","",""
"0856","Uden","1991","","20220101"
"0857","Udenhout","0855","","19970101"
"0858","Valkenswaard","","",""
"0859","Veen","0738","","19730101"
"0860","Veghel","1948","","20170101"
"0861","Veldhoven","","19210101",""
"0862","Vessem, Wintelre en Knegsel","0770","","19970101"
"0863","Vierlingsbeek","0756","","19980101"
"0864","Vlijmen","0797","","19970101"
"0865","Vught","","",""
"0866","Waalre","","",""
"0867","Waalwijk","","",""
"0868","Wanroij","1691","","19940101"
"0869","Waspik","0867","","19970101"
"0870","Werkendam","1959","","20190101"
"0871","Westerhoven","0749","","19970101"
"0872","Willemstad","0878","","19970101"
"0873","Woensdrecht","","",""
"0874","Woudrichem","1959","","20190101"
"0875","Wouw","1674","","19970101"
"0876","Wijk en Aalburg","0738","","19730101"
"0877","Zeeland","1685","","19940101"
"0878","Zevenbergen","1709","","19980401"
"0879","Zundert","","",""
"0880","Wormerland","","19910101",""
"0881","Onderbanken","1954","19820101","20190101"
"0882","Landgraaf","","19820101",""
"0883","Amby","0935","","19700701"
"0884","Amstenrade","0962","","19820101"
"0885","Arcen en Velden","0983","","20100101"
"0886","Baexem","0920","","19910101"
"0887","Beegden","1937","","19910101"
"0888","Beek","","",""
"0889","Beesel","","",""
"0890","Belfeld","0983","","20010101"
"0891","Bemelen","0936","","19820101"
"0892","Berg en Terblijt","0994","","19820101"
"0893","Bergen (L)","","",""
"0894","Bingelrade","0963","","19820101"
"0895","Bocholtz","0965","","19820101"
"0896","Borgharen","0935","","19700701"
"0897","Born","1883","","20010101"
"0898","Broekhuizen","1507","","20010101"
"0899","Brunssum","","",""
"0900","Bunde","0938","","19820101"
"0901","Cadier en Keer","0936","","19820101"
"0902","Echt","1711","","20030101"
"0903","Elsloo","0971","","19820101"
"0904","Eygelshoven","0928","","19820101"
"0905","Eijsden","1903","","20110101"
"0906","Geleen","1883","","20010101"
"0907","Gennep","","",""
"0908","Geulle","0938","","19820101"
"0909","Grathem","0920","","19910101"
"0910","Grevenbicht","0897","","19820101"
"0911","Gronsveld","0905","","19820101"
"0912","Grubbenvorst","1507","","20010101"
"0913","Gulpen","1729","","19990101"
"0914","Haelen","1640","","20070101"
"0915","Heel en Panheel","1937","","19910101"
"0916","Heer","0935","","19700701"
"0917","Heerlen","","",""
"0918","Helden","1894","","20100101"
"0919","Herten","0957","","19910101"
"0920","Heythuysen","1640","","20070101"
"0921","Hoensbroek","0917","","19820101"
"0922","Horn","0914","","19910101"
"0923","Horst","1507","","20010101"
"0924","Hulsberg","0951","","19820101"
"0925","Hunsel","1640","","20070101"
"0926","Itteren","0935","","19700701"
"0927","Jabeek","0963","","19820101"
"0928","Kerkrade","","",""
"0929","Kessel","1894","","20100101"
"0930","Klimmen","0986","","19820101"
"0931","Limbricht","0968","","19820101"
"0932","Linne","0933","","19910101"
"0933","Maasbracht","1641","","20070101"
"0934","Maasbree","1894","","20100101"
"0935","Maastricht","","",""
"0936","Margraten","1903","","20110101"
"0937","Meerlo","0993","","19690701"
"0938","Meerssen","","",""
"0939","Melick en Herkenbosch","1669","","19930101"
"0940","Merkelbeek","0963","","19820101"
"0941","Meijel","1894","","20100101"
"0942","Mheer","0936","","19820101"
"0943","Montfort","0956","","19910101"
"0944","Mook en Middelaar","","",""
"0945","Munstergeleen","0968","","19820101"
"0946","Nederweert","","",""
"0947","Neer","0958","","19910101"
"0948","Nieuwenhagen","0882","","19820101"
"0949","Nieuwstadt","0974","","19820101"
"0950","Noorbeek","0936","","19820101"
"0951","Nuth","1954","","20190101"
"0952","Obbicht en Papenhoven","0897","","19820101"
"0953","Ohé en Laak","0933","","19910101"
"0954","Oirsbeek","0962","","19820101"
"0955","Ottersum","0907","","19730101"
"0956","Posterholt","1679","","19940201"
"0957","Roermond","","",""
"0958","Roggel","1670","","19930101"
"0959","Roosteren","0974","","19820101"
"0960","Schaesberg","0882","","19820101"
"0961","Schimmert","0951","","19820101"
"0962","Schinnen","1954","","20190101"
"0963","Schinveld","0881","","19820101"
"0964","Sevenum","1507","","20100101"
"0965","Simpelveld","","",""
"0966","Sint Geertruid","0936","","19820101"
"0967","Sint Odiliënberg","0956","","19910101"
"0968","Sittard","1883","","20010101"
"0969","Slenaken","0990","","19820101"
"0970","Spaubeek","0888","","19820101"
"0971","Stein","","",""
"0972","Stevensweert","0933","","19910101"
"0973","Stramproy","0988","","19980101"
"0974","Susteren","1711","","20030101"
"0975","Swalmen","0957","","20070101"
"0976","Tegelen","0983","","20010101"
"0977","Thorn","1641","","20070101"
"0978","Ubach over Worms","0882","","19820101"
"0979","Ulestraten","0938","","19820101"
"0980","Urmond","0971","","19820101"
"0981","Vaals","","",""
"0982","Valkenburg-Houthem","0994","19401001","19820101"
"0983","Venlo","","",""
"0984","Venray","","",""
"0985","Vlodrop","0939","","19910101"
"0986","Voerendaal","","",""
"0987","Wanssum","0993","","19690701"
"0988","Weert","","",""
"0989","Wessem","1937","","19910101"
"0990","Wittem","1729","","19990101"
"0991","Wijlre","0913","","19820101"
"0992","Wijnandsrade","0951","","19820101"
"0993","Meerlo-Wanssum","0984","19690701","20100101"
"0994","Valkenburg aan de Geul","","19820101",""
"0995","Lelystad","","19800101",""
"0996","Zuidelijke IJsselmeerpolders","0034","19551130","19960101"
"0997","Centraal Persoonsregister (Niet GBA)","","","19901001"
"0998","Buitenland (Niet GBA)","","","19901001"
"0999","Onbekend (Niet GBA)","","","19901001"
"1000","Aagtekerke","0686","","19660701"
"1001","Aalst","0866","","19230101"
"1002","Aarlanderveen","0484","","19180101"
"1003","Abcoude-Baambrugge","0305","","19410501"
"1004","Abcoude-Proostdij","0305","","19410501"
"1005","Achttienhoven","1224","","19540101"
"1006","Aengwirden","0074","","19340701"
"1007","Alem, Maren en Kessel","0808","","19580101"
"1008","Alphen","0484","","19180101"
"1009","Ambt-Almelo","0141","","19140101"
"1010","Ambt-Doetinchem","0222","","19200101"
"1011","Ambt-Hardenberg","0160","","19410501"
"1012","Ambt-Ommen","0175","","19230501"
"1013","Ambt-Vollenhove","0185","","19420201"
"1014","Ankeveen","0390","","19660801"
"1015","Baardwijk","0867","","19220101"
"1016","Balgoij","0271","","19230501"
"1017","Barwoutswaarder","0632","","19640201"
"1018","Bath","0702","","18780101"
"1019","Bellingwolde","0007","","19680901"
"1020","Besoijen","0867","","19290101"
"1021","Beugen en Rijkevoort","0756","","19420501"
"1022","Biggekerke","0720","","19660701"
"1023","Bokhoven","0774","","19220101"
"1024","Den Bommel","0580","","19660101"
"1025","Bommenede","1236","","18650101"
"1026","Borkel en Schaft","0858","","19340501"
"1027","Boschkapelle","0719","","19360701"
"1028","Breukelen-Nijenrode","0311","","19490101"
"1029","Breukelen-Sint Pieters","0311","","19490101"
"1030","Broek","0627","","18700701"
"1031","Broek op Langendijk","0416","","19410801"
"1032","Broeksittard","0968","","19421001"
"1033","Buggenum","0914","","19421001"
"1034","Buiksloot","0363","","19210101"
"1035","Burgh","0725","","19610101"
"1036","Capelle","0849","","19230101"
"1037","Charlois","0599","","18950228"
"1038","Colijnsplaat","0682","","19410401"
"1039","Cromvoirt","0865","","19330101"
"1040","Delfshaven","0599","","18860114"
"1041","Deurne en Liessel","0762","","19260101"
"1042","Deursen en Dennenburg","0835","","19230501"
"1043","Dieden, Demen en Langel","0835","","19230501"
"1044","Dinther","0792","","19690101"
"1045","Dommelen","0858","","19340501"
"1046","Doorwerth","0274","","19230501"
"1047","Dreischor","0656","","19610101"
"1048","Driebergen","0316","","19310501"
"1049","Drongelen","0771","","19230501"
"1050","Duivendijke","0688","","19610101"
"1051","Duizel en Steensel","0770","","19230101"
"1052","Eede","0648","","19410401"
"1053","Elkerzee","0688","","19610101"
"1054","Ellemeet","0688","","19610101"
"1055","Elten","","19490423","19630801"
"1056","Emmikhoven en Waardhuizen","0740","","18790715"
"1057","Escharen","0786","","19420701"
"1058","Gameren","0257","","19550701"
"1059","Gassel","0747","","19420801"
"1060","Genderen","0771","19080801","19230501"
"1061","Gestel en Blaarthem","0772","","19200101"
"1062","Giessen-Nieuwkerk","0510","","19570101"
"1063","Giessendam","0523","","19570101"
"1064","Ginneken en Bavel","0817","","19420101"
"1065","Grafhorst","0191","","19370101"
"1066","Groote Lindt","0642","","18810906"
"1067","Grijpskerke","0686","","19660701"
"1068","Haamstede","0725","","19610101"
"1069","Haarzuilens","0347","","19540101"
"1070","Hardinxveld","0523","","19570101"
"1071","Hedikhuizen","0797","","19350501"
"1072","Heeswijk","0792","","19690101"
"1073","Heille","0713","","18800423"
"1074","Hekelingen","0612","","19660501"
"1075","Hekendorp","0506","","19640201"
"1076","Hemmen","0283","","19550701"
"1077","Hengstdijk","0719","","19360701"
"1078","Herkingen","0504","","19660101"
"1079","Herpen","0835","","19410401"
"1080","Herpt","0797","","19350501"
"1081","Hillegersberg","0599","","19410801"
"1082","Hof van Delft","0503","","19210101"
"1083","Hoogezand","0018","","19490401"
"1084","Hoogkerk","0014","","19690101"
"1085","Hoogvliet","0599","","19340501"
"1086","Houthem","0982","","19401001"
"1087","Houtrijk en Polanen","0393","","18630922"
"1088","Huisseling en Neerloon","0835","","19230501"
"1089","Hurwenen","0276","","19550701"
"1090","Ittervoort","0925","","19420701"
"1091","Jaarsveld","0331","","19430101"
"1092","Kamperveen","0191","","19370101"
"1093","Katendrecht","1037","","18740101"
"1094","Kats","0682","","19410401"
"1095","Kerkwerve","0688","","19610101"
"1096","Kethel en Spaland","0606","","19410801"
"1097","Kortenhoef","0390","","19660801"
"1098","Koudekerke","0720","","19660701"
"1099","Kralingen","0599","","18950228"
"1100","Laag-Nieuwkoop","0324","","19420501"
"1101","Lange Ruige Weide","0506","","19640201"
"1102","Lierop","0847","","19350501"
"1103","Linden","0747","","19420801"
"1104","Lithoijen","0808","","19390101"
"1105","Loenersloot","0311","","19640401"
"1106","Lonneker","0153","","19340501"
"1107","Loosduinen","0518","","19230701"
"1108","Maarsseveen","0333","","19490701"
"1109","Maashees en Overloon","0863","","19420501"
"1110","Maasniel","0957","","19590801"
"1111","Meeuwen","0771","","19230501"
"1112","Meliskerke","0686","","19660701"
"1113","Melissant","0504","","19660101"
"1114","Mesch","0905","","19430101"
"1115","Nederhemert","0257","","19550701"
"1116","Neeritter","0925","","19420701"
"1117","Nieuw- en Sint Joosland","0687","","19660701"
"1118","Nieuw-Helvoet","0530","","19600101"
"1119","Nieuwe Tonge","0559","","19660101"
"1120","Nieuwendam","0363","","19210101"
"1121","Nieuwenhoorn","0530","","19600101"
"1122","Nieuwerkerk","0662","","19610101"
"1123","Nieuwkuijk","0864","","19350501"
"1124","Noord-Scharwoude","0416","","19410801"
"1125","Noord-Waddinxveen","0627","","18700701"
"1126","Noordbroek","0033","","19650701"
"1127","Noorddijk","0014","","19690101"
"1128","Noordgouwe","0656","","19610101"
"1129","Noordwelle","0725","","19610101"
"1130","Nunhem","0914","","19421001"
"1131","Odijk","0312","","19640901"
"1132","Oerle","0861","","19210501"
"1133","Ooltgensplaat","0580","","19660101"
"1134","Oost- en West-Barendrecht","0489","18360101","18860101"
"1135","Oost- en West-Souburg","0718","","19660701"
"1136","Oosterland","0662","","19610101"
"1137","Oostkapelle","0660","","19660701"
"1138","Ossenisse","0719","","19360701"
"1139","Oud- en Nieuw-Mathenesse","0606","","18680101"
"1140","Oud-Valkenburg","0982","","19401001"
"1141","Oud-Vroenhoven","0935","","19200101"
"1142","Ouddorp","0511","","19660101"
"1143","Oude-Tonge","0580","","19660101"
"1144","Oudenrijn","0347","","19540101"
"1145","Oudheusden","0797","","19350501"
"1146","Oudkarspel","0416","","19410801"
"1147","Oudshoorn","0484","","19180101"
"1148","Ouwerkerk","0662","","19610101"
"1149","Overschie","0599","","19410801"
"1150","Oijen en Teeffelen","0808","","19390101"
"1151","Papekop","0506","","19640201"
"1152","Pernis","0599","","19340501"
"1153","Petten","0476","","19290501"
"1154","Peursum","0510","","19570101"
"1155","Poederoijen","0212","","19550701"
"1156","Princenhage","1247","","19420101"
"1157","Ransdorp","0363","","19210101"
"1158","Reek","0843","","19420701"
"1159","Renesse","0725","","19610101"
"1160","Rietveld","0632","","19640201"
"1161","Rilland","0702","","18780101"
"1162","Rimburg","0978","","18870315"
"1163","Ritthem","0718","","19660701"
"1164","Ruwiel","0311","","19640401"
"1165","Rijckholt","0911","","19430101"
"1166","Rijsenburg","0316","","19310501"
"1167","Sambeek","0756","","19420501"
"1168","Sappemeer","0018","","19490401"
"1169","Schalkwijk","0321","","19620101"
"1170","Schiebroek","0599","","19410801"
"1171","Schin op Geul","0982","","19401001"
"1172","Schore","0678","","19410101"
"1173","Schoten","0392","","19270501"
"1174","Schoterland","0074","","19340701"
"1175","Serooskerke (Schouwen)","0725","","19610101"
"1176","Serooskerke (Walcheren)","0717","","19660701"
"1177","St. Anna ter Muiden","0713","","18800423"
"1178","Sint Kruis","0648","","19410401"
"1179","Sint Laurens","0687","","19660701"
"1180","Sint Pieter","0935","","19200101"
"1181","Sloten (NH)","0363","","19210101"
"1182","Sluipwijk","0595","","18700701"
"1183","Soerendonk, Sterksel en Gastel","0811","","19250101"
"1184","Sommelsdijk","0559","","19660101"
"1185","Spaarndam","0392","","19270501"
"1186","Spanbroek","0432","","19590701"
"1187","Sprang","0849","","19230101"
"1188","Stad aan 't Haringvliet","0559","","19660101"
"1189","Stad-Almelo","0141","","19140101"
"1190","Stad-Doetinchem","0222","","19200101"
"1191","Stad-Hardenberg","0160","","19410501"
"1192","Stad-Ommen","0175","","19230501"
"1193","Stad-Vollenhove","0185","","19420201"
"1194","Stein (ZH)","0595","","18700701"
"1195","Stellendam","0511","","19660101"
"1196","Stiphout","0794","","19680101"
"1197","Stompwijk","0548","","19380101"
"1198","Stoppeldijk","0719","","19360701"
"1199","Stratum","0772","","19200101"
"1200","Strucht","1171","","18790102"
"1201","Strijp","0772","","19200101"
"1202","Tienhoven (U)","0333","","19570701"
"1203","Tongelre","0772","","19200101"
"1204","Tudderen","","19490422","19630801"
"1205","Tull en 't Waal","0321","","19620101"
"1206","Veldhoven en Meerveldhoven","0861","","19210501"
"1207","Veldhuizen","0347","","19540101"
"1208","Velp","0786","","19420701"
"1209","Veur","0548","","19380101"
"1210","Vlaardinger-Ambacht","0622","","19410801"
"1211","Vleuten","0347","","19540101"
"1212","Vlierden","0762","","19260101"
"1213","Vreeland","0329","","19640401"
"1214","Vrouwenpolder","0717","","19660701"
"1215","Vrijenban","0503","","19210101"
"1216","Vrijhoeve-Capelle","0849","","19230101"
"1217","Waarder","0506","","19640201"
"1218","Wadenoijen","0281","","19560701"
"1219","Watergraafsmeer","0363","","19210101"
"1220","Wedde","0007","","19680901"
"1221","Weesperkarspel","0363","","19660801"
"1222","de Werken en Sleeuwijk","0870","","19501001"
"1223","Werkhoven","0312","","19640901"
"1224","Westbroek","0334","","19570701"
"1225","Wildervank","0047","","19690101"
"1226","Willige-Langerak","0331","","19430101"
"1227","Wilsum","0191","","19370101"
"1228","Woensel","0772","","19200101"
"1229","Wijk aan Zee en Duin","0375","","19360501"
"1230","IJsselmonde","0599","","19410801"
"1231","IJzendoorn","0227","","19230501"
"1232","Zalk en Veecaten","0191","","19370101"
"1233","Zeelst","0861","","19210501"
"1234","Zegwaart","0637","","19350501"
"1235","Zesgehuchten","0781","","19210501"
"1236","Zonnemaire","0656","","19610101"
"1237","Zoutelande","0720","","19660701"
"1238","Zuid-Scharwoude","0416","","19410801"
"1239","Zuid-Waddinxveen","0627","","18700701"
"1240","Zuidbroek","0033","","19650701"
"1241","Zuidschalkwijk","0393","","18630922"
"1242","Zuilen","0344","","19540101"
"1243","Zuilichem","0212","","19550701"
"1244","Zwammerdam","0484","","19640201"
"1245","Zwollerkerspel","0193","","19670801"
"1246","Bangert","0498","19790101","19800101"
"1247","Beek (NB)","0832","19420101","19510101"
"1248","Driel","0263","","19440801"
"1249","Nieuwer-Amstel","0362","","19640101"
"1250","Onstwedde","0037","","19690101"
"1251","Etten en Leur","0777","","19680101"
"1252","Valkenburg (L)","0982","","19410715"
"1253","Wissekerke","0670","","19580801"
"1254","Borssele","0654","","19700101"
"1255","Eethen, Genderen en Heesbeen","1060","","19080801"
"1256","Koudekerk","0540","","19380101"
"1257","Staveren","0092","19390101","19790101"
"1258","Rijsoort en Strevelshoek","0597","18460101","18550901"
"1259","Millingen","0265","","19550101"
"1260","Hemelumer Oldephaert en Noordwolde","0075","","19560101"
"1261","Simonshaven","0509","","18550901"
"1262","Bleskensgraaf","0496","","18550901"
"1263","Drongelen, Hangoort,Gansoyen en Doeveren","1049","","19080801"
"1264","Dussen, Munster en Muilkerk","0769","","19080801"
"1265","Meeuwen, Hill en Babyloniënbroek","1111","","19080801"
"1301","Abtsregt","1215","","18550901"
"1302","Achthoven","0328","","18570908"
"1303","Achttienhoven (bij Nieuwkoop)","0569","","18550901"
"1304","Ackersdijk en Vrouwenregt","1215","","18550901"
"1305","Benthorn","0490","","18460101"
"1306","Berkenrode","0397","","18580101"
"1307","Biert","0509","","18550901"
"1308","Biesland","1215","","18330101"
"1309","Bijlmermeer","1221","","18460101"
"1310","Cabauw","1226","","18570908"
"1311","Cillaarshoek","0554","","18320101"
"1312","Darthuizen","0326","","18570908"
"1313","Dorth","0239","","18310701"
"1314","Duist","0320","","18570908"
"1315","Edam","0385","","19750101"
"1316","Etersheim","0430","","18480101"
"1317","Gapinge","1214","","18571002"
"1318","Gerverscop","0318","","18570908"
"1319","Goidschalxoord","0528","","18550901"
"1320","'s-Gravenambacht","1152","","18340101"
"1321","'s-Gravesloot","0323","","18570908"
"1322","Groeneveld","1082","","18550901"
"1323","Groet","0444","","18340101"
"1324","Grosthuizen","0368","","18540531"
"1325","Haarlemmerliede","0393","","18570908"
"1326","'s Heer Hendriks Kinderen","0670","","18570801"
"1327","Heer Oudelands Ambacht","1066","","18570819"
"1328","Hodenpijl","0607","","18550901"
"1329","Hofwegen","0496","","18550901"
"1330","Hoog en Woud Harnasch","1082","","18330101"
"1331","Hoogeveen in Delfland","0577","","18320101"
"1332","Hoogeveen in Rijnland","0490","","18550901"
"1333","Hoogmade","0633","","18550917"
"1334","Kalslagen","0549","","18540531"
"1335","Kamerik Houtdijken","0323","","18570908"
"1336","Kamerik Mijzijde","0323","","18570908"
"1337","Kijfhoek","1066","","18570819"
"1338","Kleine Lindt","0526","","18570613"
"1339","Kleverskerke","0649","","18571002"
"1340","Laagblokland","0582","","18580101"
"1341","Loenen en Wolveren","0283","","18540420"
"1342","Maarssenbroek","0333","","18570908"
"1343","Meerdervoort","0642","","18550901"
"1344","Middelburg (ZH)","0595","","18550901"
"1345","De Mijl","0507","","18570131"
"1346","Naters","0598","","18560101"
"1347","Nederslingelandt","1154","","18570819"
"1348","Nieuwland, Kortland en 's-Graveland","1096","","18560101"
"1349","Nieuwveen in Delfland","0577","","18320101"
"1350","Noord-Polsbroek","0338","","18570908"
"1351","Onwaard","1113","","18580101"
"1352","Oost-Barendrecht","1134","","18360101"
"1353","Oost-Souburg","1135","","18340101"
"1355","Oud-Wulven","0321","","18580101"
"1356","Oude en Nieuwe Struiten","1118","","18550901"
"1357","Oudhuizen","0350","","18580101"
"1358","Oukoop","1075","","18570819"
"1359","Portengen","1028","","18590101"
"1360","Rhijnauwen","0312","","18570908"
"1361","Rietwijkeroord","1249","","18540623"
"1362","Rijsoort","1258","","18550101"
"1363","Roxenisse","1113","","18580101"
"1364","Ruijven","0594","","18460101"
"1365","Sandelingen-Ambacht","0531","","18550901"
"1366","Schardam","0371","","18540531"
"1367","Scharwoude","0368","","18540531"
"1368","Schellingwoude","1157","","18570919"
"1369","Schokland","0166","","18580901"
"1370","Schonauwen","0321","","18580101"
"1371","Schuddebeurs en Simonshaven","0509","","18550711"
"1372","Sint Anthonypolder","0554","","18320101"
"1373","St. Maartensregt","0607","","18550901"
"1374","Spaarnwoude","0393","","18570908"
"1375","Spijk","0533","","18550901"
"1376","Steenbergen en Kruisland","0851","","19620625"
"1377","Sterkenburg","1048","","18570908"
"1378","Stormpolder","0542","","18550901"
"1380","Strevelshoek","1258","","18460101"
"1381","Strijensas","0617","","18550901"
"1382","Teckop","0323","","18570908"
"1383","Tempel","0493","","18580711"
"1384","Veenhuizen","0398","","18540413"
"1385","De Vennip","0534","","18550815"
"1386","Verwolde","0259","","18540522"
"1387","Vinkeveen","0346","","18410101"
"1388","Vliet","0521","","18460101"
"1390","Vrije en Lage Boekhorst","0483","","18550815"
"1391","Vrijhoeven","0480","","18400710"
"1392","de Vuursche","0308","","18571201"
"1393","Waverveen","0346","","18410101"
"1394","West-Barendrecht","1134","","18360101"
"1395","West-Souburg","1135","","18340101"
"1396","Wieldrecht","0507","","18570131"
"1397","Wimmenum","0387","","18570713"
"1398","Wulverhorst","0328","","18570908"
"1399","Zevender","1226","","18570908"
"1400","Zouteveen","1210","","18550901"
"1401","Zuid-Polsbroek","0338","","18570908"
"1402","Zuidbroek (ZH)","0491","","18570613"
"1403","Zuidwijk","0499","","18460101"
"1404","de Noordoostelijke Polder","0171","","19620701"
"1507","Horst aan de Maas","","20010101",""
"1509","Oude IJsselstreek","","20050101",""
"1525","Teylingen","","20060101",""
"1581","Utrechtse Heuvelrug","","20060101",""
"1586","Oost Gelre","","20060519",""
"1598","Koggenland","","20070101",""
"1621","Lansingerland","","20070101",""
"1640","Leudal","","20070101",""
"1641","Maasgouw","","20070101",""
"1651","Eemsmond","1966","19920101","20190101"
"1652","Gemert-Bakel","","19970101",""
"1655","Halderberge","","19970101",""
"1658","Heeze-Leende","","19970101",""
"1659","Laarbeek","","19970101",""
"1661","Reiderland","1895","19910701","20100101"
"1663","De Marne","1966","19920101","20190101"
"1665","Made","1719","19970101","19980425"
"1666","Zevenhuizen-Moerkapelle","1892","19920201","20100101"
"1667","Reusel-De Mierden","","19970101",""
"1669","Roerdalen","","19930101",""
"1670","Roggel en Neer","1640","19930101","20070101"
"1671","Maasdonk","0796","19930101","20150101"
"1672","Rijnwoude","0484","19930101","20140101"
"1673","Liemeer","0569","19940101","20070101"
"1674","Roosendaal","","19970101",""
"1676","Schouwen-Duiveland","","19970101",""
"1679","Ambt Montfort","1669","19940201","20070101"
"1680","Aa en Hunze","","19980101",""
"1681","Borger-Odoorn","","19980101",""
"1684","Cuijk","1982","19940101","20220101"
"1685","Landerd","1991","19940101","20220101"
"1690","De Wolden","","19980101",""
"1691","St. Anthonis","1702","19940101","19950704"
"1695","Noord-Beveland","","19950101",""
"1696","Wijdemeren","","20020101",""
"1697","Middenveld","1731","19980101","20000101"
"1698","Sluis-Aardenburg","1714","19950101","20030101"
"1699","Noordenveld","","19980101",""
"1700","Twenterand","","20020601",""
"1701","Westerveld","","19980101",""
"1702","Sint Anthonis","1982","19950704","20220101"
"1705","Lingewaard","","20030101",""
"1706","Cranendonck","","19980128",""
"1708","Steenwijkerland","","20030101",""
"1709","Moerdijk","","19980401",""
"1711","Echt-Susteren","","20030101",""
"1714","Sluis","","20030101",""
"1719","Drimmelen","","19980425",""
"1721","Bernheze","","19950128",""
"1722","Ferwerderadiel","1970","19990101","20190101"
"1723","Alphen-Chaam","","19970101",""
"1724","Bergeijk","","19990101",""
"1728","Bladel","","19970101",""
"1729","Gulpen-Wittem","","19990101",""
"1730","Tynaarlo","","19991201",""
"1731","Midden-Drenthe","","20000101",""
"1734","Overbetuwe","","20010101",""
"1735","Hof van Twente","","20010101",""
"1740","Neder-Betuwe","","20030401",""
"1742","Rijssen-Holten","","20030315",""
"1771","Geldrop-Mierlo","","20040101",""
"1773","Olst-Wijhe","","20020326",""
"1774","Dinkelland","","20020601",""
"1783","Westland","","20040101",""
"1842","Midden-Delfland","","20040101",""
"1859","Berkelland","","20050101",""
"1876","Bronckhorst","","20050101",""
"1883","Sittard-Geleen","","20010101",""
"1884","Kaag en Braassem","","20090101",""
"1891","Dantumadiel","","20090101",""
"1892","Zuidplas","","20100101",""
"1894","Peel en Maas","","20100101",""
"1895","Oldambt","","20100101",""
"1896","Zwartewaterland","","20010101",""
"1900","Súdwest-Fryslân","","20110101",""
"1901","Bodegraven-Reeuwijk","","20110101",""
"1903","Eijsden-Margraten","","20110101",""
"1904","Stichtse Vecht","","20110101",""
"1908","Menameradiel","1949","20110101","20180101"
"1911","Hollands Kroon","","20120101",""
"1916","Leidschendam-Voorburg","","20020101",""
"1921","De Friese Meren","1940","20140101","20150701"
"1924","Goeree-Overflakkee","","20130101",""
"1926","Pijnacker-Nootdorp","","20020101",""
"1927","Molenwaard","1978","20130101","20190101"
"1930","Nissewaard","","20150101",""
"1931","Krimpenerwaard","","20150101",""
"1937","Heel","1641","19910101","20070101"
"1940","De Fryske Marren","","20150701",""
"1942","Gooise Meren","","20160101",""
"1945","Berg en Dal","","20160101",""
"1948","Meierijstad","","20170101",""
"1949","Waadhoeke","","20180101",""
"1950","Westerwolde","","20180101",""
"1952","Midden-Groningen","","20180101",""
"1954","Beekdaelen","","20190101",""
"1955","Montferland","","20050101",""
"1959","Altena","","20190101",""
"1960","West Betuwe","","20190101",""
"1961","Vijfheerenlanden","","20190101",""
"1963","Hoeksche Waard","","20190101",""
"1966","Het Hogeland","","20190101",""
"1969","Westerkwartier","","20190101",""
"1970","Noardeast-Fryslân","","20190101",""
"1978","Molenlanden","","20190101",""
"1979","Eemsdelta","","20210101",""
"1980","Dijk en Waard","","20220101",""
"1982","Land van Cuijk","","20220101",""
"1987","Menterwolde","1952","19910201","20180101"
"1991","Maashorst","","20220101",""
"1992","Voorne aan Zee","","20230101",""
"1999","Registratie Niet Ingezetenen (RNI)","","20140106",""
