92.10 Gemeentecode,92.11 Omschrijving,92.12 Nieuwe code,99.98 Datum ingang,99.99 Datum einde
"0325","Langbroek","0352","","19960101"
"0326","Leersum","1581","","20060101"
"0327","Leusden","","",""
"0328","Linschoten","0335","","19890101"
"0329","Loenen","1904","","20110101"
"0330","Loosdrecht","1696","","20020101"
"0331","Lopik","","",""
"0332","Maarn","1581","","20060101"
"0333","Maarssen","1904","","20110101"
"0334","Maartensdijk","0310","","20010101"
"0335","Montfoort","","",""
"0336","Mijdrecht","0736","","19890101"
"0337","Nigtevecht","0329","","19890101"
"0338","Polsbroek","0331","18570613","19890101"
"0339","Renswoude","","",""
"0340","Rhenen","","",""
"0341","Snelrewaard","0589","","19890101"
"0342","Soest","","",""
"0343","Stoutenburg","0327","","19690601"
"0344","Utrecht","","",""
"0345","Veenendaal","","",""
"0346","Vinkeveen en Waverveen","0736","18410101","19890101"
"0347","Vleuten-De Meern","0344","19540101","20010101"
"0348","Vreeswijk","0356","","19710701"
"0349","Willeskop","0335","","19890101"
"0350","Wilnis","0736","","19890101"
"0351","Woudenberg","","",""
"0352","Wijk bij Duurstede","","",""
"0353","IJsselstein","","",""
"0354","Zegveld","0632","","19890101"
"0355","Zeist","","",""
"0356","Nieuwegein","","19710701",""
"0357","Egmond","0373","19780701","20010101"
"0358","Aalsmeer","","",""
"0359","Abbekerk","0529","","19790101"
"0360","Akersloot","0383","","20020101"
"0361","Alkmaar","","",""
"0362","Amstelveen","","19640101",""
"0363","Amsterdam","","",""
"0364","Andijk","0420","","20110101"
"0365","Graft-De Rijp","0361","19700801","20150101"
"0366","Anna Paulowna","1911","18700718","20120101"
"0367","Assendelft","0479","","19740101"
"0368","Avenhorn","0558","","19790101"
"0369","Barsingerhorn","0412","","19900101"
"0370","Beemster","0439","","20220101"
"0371","Beets","0478","","19700801"
"0372","Bennebroek","0377","","20090101"
"0373","Bergen (NH)","","",""
"0374","Berkhout","0558","","19790101"
"0375","Beverwijk","","",""
"0376","Blaricum","","",""
"0377","Bloemendaal","","",""
"0378","Blokker","0405","","19790101"
"0379","Bovenkarspel","0532","","19790101"
"0380","Broek in Waterland","0852","","19910101"
"0381","Bussum","1942","","20160101"
"0382","Callantsoog","0476","","19900101"
"0383","Castricum","","",""
"0384","Diemen","","",""
"0385","Edam-Volendam","","19750101",""
"0386","Egmond aan Zee","0357","","19780701"
"0387","Egmond-Binnen","0357","","19780701"
"0388","Enkhuizen","","",""
"0389","Graft","0365","","19700801"
"0390","'s-Graveland","1696","","20020101"
"0391","Grootebroek","0532","","19790101"
"0392","Haarlem","","",""
"0393","Haarlemmerliede en Spaarnwoude","0394","18570101","20190101"
"0394","Haarlemmermeer","","18550101",""
"0395","Harenkarspel","0441","","20130101"
"0396","Heemskerk","","",""
"0397","Heemstede","","",""
"0398","Heerhugowaard","1980","","20220101"
"0399","Heiloo","","",""
"0400","Den Helder","","",""
"0401","Hensbroek","0429","","19790101"
"0402","Hilversum","","",""
"0403","Hoogkarspel","1246","","19790101"
"0404","Hoogwoud","0432","","19790101"
"0405","Hoorn","","",""
"0406","Huizen","","",""
"0407","Ilpendam","0415","","19910101"
"0408","Jisp","0880","","19910101"
"0409","Katwoude","0852","","19910101"
"0410","Koedijk","0446","","19721001"
"0411","Koog aan de Zaan","0479","","19740101"
"0412","Niedorp","1911","19700801","20120101"
"0413","Krommenie","0479","","19740101"
"0414","Kwadijk","0478","","19700801"
"0415","Landsmeer","","",""
"0416","Langedijk","1980","19410801","20220101"
"0417","Laren","","",""
"0418","Limmen","0383","","20020101"
"0419","Marken","0852","","19910101"
"0420","Medemblik","","",""
"0421","Middelie","0478","","19700801"
"0422","Midwoud","0529","","19790101"
"0423","Monnickendam","0852","","19910101"
"0424","Muiden","1942","","20160101"
"0425","Naarden","1942","","20160101"
"0426","Nederhorst den Berg","1696","","20020101"
"0427","Nibbixwoud","0466","","19790101"
"0428","Nieuwe Niedorp","0412","","19700801"
"0429","Obdam","1598","","20070101"
"0430","Oosthuizen","0478","","19700801"
"0431","Oostzaan","","",""
"0432","Opmeer","","",""
"0433","Opperdoes","0529","","19790101"
"0434","Oterleek","0458","","19700801"
"0435","Oudendijk","0558","","19790101"
"0436","Oude Niedorp","0412","","19700801"
"0437","Ouder-Amstel","","",""
"0438","Oudorp","0361","","19721001"
"0439","Purmerend","","",""
"0440","De Rijp","0365","","19700801"
"0441","Schagen","","",""
"0442","Schellinkhout","0454","","19700801"
"0443","Schermerhorn","0458","","19700801"
"0444","Schoorl","0373","","20010101"
"0445","Sint Maarten","0395","","19900101"
"0446","Sint Pancras","0416","","19900101"
"0447","Sijbekarspel","0529","","19790101"
"0448","Texel","","",""
"0449","Twisk","0529","","19790101"
"0450","Uitgeest","","",""
"0451","Uithoorn","","",""
"0452","Ursem","0558","","19790101"
"0453","Velsen","","",""
"0454","Venhuizen","0498","","20060101"
"0455","Warder","0478","","19700801"
"0456","Warmenhuizen","0395","","19900101"
"0457","Weesp","0363","","20220324"
"0458","Schermer","0361","19700801","20150101"
"0459","Wervershoof","0420","","20110101"
"0460","Westwoud","1246","","19790101"
"0461","Westzaan","0479","","19740101"
"0462","Wieringen","1911","","20120101"
"0463","Wieringermeer","1911","19380101","20120101"
"0464","Wieringerwaard","0369","","19700801"
"0465","Winkel","0412","","19700801"
"0466","Wognum","0420","","20070101"
"0467","Wormer","0880","","19910101"
"0468","Wormerveer","0479","","19740101"
"0469","Wijdenes","0454","","19700801"
"0470","Wijdewormer","0880","","19910101"
"0471","Zaandam","0479","","19740101"
"0472","Zaandijk","0479","","19740101"
"0473","Zandvoort","","",""
"0474","Zuid- en Noord-Schermer","0458","","19700801"
"0475","Zwaag","0405","","19790101"
"0476","Zijpe","0441","","20130101"
"0477","Albrandswaard (oud)","0592","","18410901"
"0478","Zeevang","0385","19700801","20160101"
"0479","Zaanstad","","19740101",""
"0480","Ter Aar","0569","","20070101"
"0481","Abbenbroek","0568","","19800101"
"0482","Alblasserdam","","",""
"0483","Alkemade","1884","","20090101"
"0484","Alphen aan den Rijn","","19180101",""
"0485","Ameide","0707","","19860101"
"0486","Ammerstol","0491","","19850101"
"0487","Arkel","0689","","19860101"
"0488","Asperen","0287","","19860101"
"0489","Barendrecht","","18860101",""
"0490","Benthuizen","0646","","19910101"
"0491","Bergambacht","1931","","20150101"
"0492","Bergschenhoek","1621","","20070101"
"0493","Berkel en Rodenrijs","1621","","20070101"
"0494","Berkenwoude","0491","","19850101"
"0495","Bleiswijk","1621","","20070101"
"0496","Bleskensgraaf en Hofwegen","0693","","19860101"
"0497","Bodegraven","1901","","20110101"
"0498","Drechterland","","19800101",""
"0499","Boskoop","0484","","20140101"
"0500","Brandwijk","0693","","19860101"
"0501","Brielle","1992","","20230101"
"0502","Capelle aan den IJssel","","",""
"0503","Delft","","",""
"0504","Dirksland","1924","","20130101"
"0505","Dordrecht","","",""
"0506","Driebruggen","0595","19640201","19890101"
"0507","Dubbeldam","0505","","19700701"
"0508","Everdingen","0620","","19860101"
"0509","Geervliet","0568","","19800101"
"0510","Giessenburg","0689","19570101","19860101"
"0511","Goedereede","1924","","20130101"
"0512","Gorinchem","","",""
"0513","Gouda","","",""
"0514","Gouderak","0644","","19850101"
"0515","Goudriaan","0693","","19860101"
"0516","Goudswaard","0588","","19840101"
"0517","'s-Gravendeel","0585","","20070101"
"0518","'s-Gravenhage","","",""
"0519","'s-Gravenzande","1783","","20040101"
"0520","Groot-Ammers","0694","","19860101"
