94.10 Landcode,94.11 Omschrijving,99.98 Datum ingang,99.99 Datum einde,Fictieve datum einde
"7007","Costa Rica","","",""
"7008","Gambia","","",""
"7009","Syrië","","",""
"7011","Nederlandse Antillen","","20101010",""
"7012","Zuid-Jemen","19671127","19900522",""
"7014","Egypte","","",""
"7015","Argentinië","","",""
"7016","Lesotho","19661004","",""
"7017","Honduras","","",""
"7018","Nicaragua","","",""
"7020","Pakistan","","",""
"7021","Senegal","","",""
"7023","Dahomey","","19751130",""
"7024","Bulgarije","","",""
"7026","Maleisië","19630916","",""
"7027","Dominicaanse Republiek","","",""
"7028","Polen","","",""
"7029","Rusland (oud)","","19171107",""
"7030","Britse Maagdeneilanden","","",""
"7031","Tanzania","19640427","",""
"7032","El Salvador","","",""
"7033","Sri Lanka","19720522","",""
"7034","Soedan","","",""
"7035","Japan","","",""
"7036","Hongkong","","19970701",""
"7037","Panama","","",""
"7038","Uruguay","","",""
"7039","Ecuador","","",""
"7040","Guinee","","",""
"7041","Maldiven","","",""
"7042","Thailand","","",""
"7043","Libanon","","",""
"7044","Italië","","",""
"7045","Koeweit","","",""
"7046","India","","",""
"7047","Roemenië","","",""
"7048","Tsjecho-Slowakije","","19930101",""
"7049","Peru","","",""
"7050","Portugal","","",""
"7051","Oman","19700809","",""
"7052","Mongolië","","",""
"7053","Samoa","19970704","",""
"7054","Verenigde Arabische Emiraten","19711202","",""
"7055","Tibet","","",""
"7057","Nauru","","",""
"7058","Nederlands Nieuw-Guinea","","19621001",""
"7059","Tanganyika","","19640427",""
"7060","Palestina","","19480515",""
"7062","Brits West-Indië","","19620201",""
"7063","Portugees-Afrika","","19910601","*"
"7064","Letland","19181118","",""
"7065","Estland","","",""
"7066","Litouwen","19180216","",""
"7067","Brits-Afrika","","19910601","*"
"7068","Belgisch-Congo","","19600630",""
"7070","Brits-Indië","","19470815",""
"7071","Noord-Rhodesië","","19641024",""
"7072","Zuid-Rhodesië","","19651111",""
"7073","Saarland","","19910601","*"
"7074","Frans Indochina","","19910601","*"
"7075","Brits West-Borneo","","19630916",""
"7076","Goudkust","","19570306",""
"7077","Ras al-Khaimah","","19910601","*"
"7079","Frans-Congo","","19600815",""
"7080","Siam","","19910601","*"
"7082","Brits Oost-Afrika","","19631212",""
"7083","Brits Noord-Borneo","","19630916",""
"7084","Bangladesh","19711216","",""
"7085","Duitse Democratische Republiek","19491007","19901003",""
"7087","Madeira-eilanden","","",""
"7088","Amerikaanse Maagdeneilanden","","",""
"7089","Australische Salomonseilanden","","19750916",""
"7091","Spaanse Sahara","","19760226",""
"7092","Caymaneilanden","","",""
"7093","Caicoseilanden","","19910601","*"
"7094","Turkseilanden","","19910601","*"
"7095","Brits Antarctisch Territorium","","",""
"7096","Brits Indische Oceaanterritorium","","",""
"7097","Cookeilanden","","",""
"7098","Tokelau","","",""
"7099","Nieuw-Caledonië","","",""
"8000","Hawaii-eilanden","","19910601","*"
"8001","Guam","","",""
"8002","Amerikaans-Samoa","","",""
"8003","Midway","","",""
"8004","Riukiu-eilanden","","19910601","*"
"8005","Wake","","",""
"8006","Pacific-eilanden","","19910601","*"
"8008","Grenada","","",""
"8009","Marianen","","",""
"8010","Cabinda","","19910601","*"
"8011","Canton en Enderbury","","19910601","*"
"8012","Christmaseiland","","",""
"8013","Cocoseilanden","","",""
"8014","Faeröer","","",""
"8015","Montserrat","","",""
"8016","Norfolk","","",""
"8017","Belize","","",""
"8018","Tasmanië","","19910601","*"
"8019","Turks- en Caicoseilanden","","",""
"8020","Puerto Rico","","",""
"8021","Papoea-Nieuw-Guinea","19750916","",""
"8022","Salomonseilanden","19780707","",""
"8023","Benin","19751130","",""
"8024","Vietnam","","",""
"8025","Kaapverdië","","",""
"8026","Seychellen","","",""
"8027","Kiribati","19790712","",""
"8028","Tuvalu","19751001","",""
"8029","Saint Lucia","","",""
"8030","Dominica","","",""
"8031","Zimbabwe","19790601","",""
"8032","Dubai","","19910601","*"
"8033","Nieuwe Hebriden","","19800730",""
"8034","Kanaaleilanden","","",""
"8035","Man","","",""
"8036","Anguilla","","",""
"8037","Saint Kitts en Nevis","","",""
"8038","Antigua","","19811101",""
"8039","Saint Vincent","","19791027",""
"8040","Gilberteilanden","","19790712",""
"8041","Panamakanaalzone","","",""
"8042","Saint Kitts, Nevis en Anguilla","19670227","19801219",""
"8043","Belau","","19941001",""
"8044","Palau","19941001","",""
"8045","Antigua en Barbuda","19811101","",""
"9000","Newfoundland","","19910601","*"
"9001","Nyasaland","","19640706",""
"9003","Eritrea","","",""
"9005","Ifni","","19690106",""
"9006","Brits-Kameroen","","19611001",""
"9007","Keizer Wilhelmsland","","19910601","*"
"9008","Congo","19600815","",""
"9009","Congo-Kinshasa","","19711027",""
"9010","Madagaskar","","",""
